"364026611017752284_14315038","Washington","jeromebaker3rd","14315038","82","60","63","","I'm out to bomb like Vietnam under the same name Tame One..."
"364028587032376706_6972492","Washington","topherleigh","6972492","192","209","219","","#precautions #vomit"
"364026705869388194_28596645","Washington","angelalikes11","28596645","167","81","126","",""
"364026006581609484_181089928","Washington","jonathancordone","181089928","76","28","14","","Just sleeping. #stillalive"
"364030044769328948_5145742","Washington","ktenmjones","5145742","251","246","243","","Bo doddlie #Lovebombs #theLiberation"
"364025841936596886_15083166","Washington","kylebosanko","15083166","201","199","178","","Navy Memorial"
"364029253005493604_46023984","Washington","gatemanchiby","46023984","72","67","47","","Me and my mans @archthegreat coolin at the wizards game!!! We outchea!! Only true wizards fans"
"364032290335431408_235488525","Washington","vanessalockbsb","235488525","23","28","48","",""
"364027210714072127_22203088","Washington","sarahpfeff","22203088","58","39","24","","Awkheyy ""TEAMWORK"" so proud of my Wizards! #dat american dream doee"
"364026440713877916_28596645","Washington","angelalikes11","28596645","36","3","46","",""
"364025729175370133_28596645","Washington","angelalikes11","28596645","101","14","111","",""
"364025357283211661_28596645","Washington","angelalikes11","28596645","50","24","125","","Oh my Gawd."
"364025991117721226_22191330","Washington","tatianarene","22191330","247","251","254","","Gettin cheddar packs like KD, OKC now that's playa ish..."
"364040438641584679_45721785","Washington","nmfdundee","45721785","113","41","44","","#nofilter Dr. Suess"
"364037469443294272_49106632","Washington","thatzumbastyle","49106632","239","234","228","","Kevin Durant @ Verizon center @thatdopemixedkid"
"364037625035658722_36242084","Washington","young_marlonbrando","36242084","255","250","224","","Good job wiz #DC #wiz #wizards"
"364038724403103595_248205544","Washington","aaronlmyers","248205544","176","61","54","","I am with @just_kellen and I have joined the #rolltide reveloution!"
"364034911505398786_15381966","Washington","hunklers","15381966","0","0","22","","EJ and an unidentifiable object @ern_j"
"364037594651525890_7301503","Washington","tevans3","7301503","139","98","102","","my first hot toddie.. Hopefully it helps me as much as they say it does #sick #cold #toomuchmedicine"
"364035935992392396_8459969","Washington","mzdavis99","8459969","84","88","91","","Day 7 #januaryphotochallenge #blkandwhtphoto #dc #lincolnmemorial"
"364040679075317636_24136248","Washington","alltherach","24136248","79","126","92","","Finally came #bliss"
"364037429900780009_8642983","Washington","pmcdaniel","8642983","135","120","115","","Monkey Bread"
"364036230151112655_219995480","Washington","zumbaa_1","219995480","142","172","180","","China town #verizoncenter #DC"
"364035641807898120_269170672","Washington","1flyelectrician","269170672","80","33","3","","Me and cuz @klump_ty  at old ebbit staying sucka free#httr #getmedoe #flatout #gymflow"
"364035419888915734_29197276","Washington","nskarp","29197276","201","184","154","","American woman @rararara518"
"364034980410098649_16077623","Washington","eusouamarjorie","16077623","73","59","94","",""
"364035049005323690_10404164","Washington","bedspring","10404164","47","14","33","","chien avec foulard"
"364033377550136518_225599284","Washington","amandita026","225599284","205","199","163","","No trip is complete without some #redvelvet goodness!! #dccupcake #georgetowncupcake #cupcake #redv #delicious"
"364032907374344717_28596645","Washington","angelalikes11","28596645","240","28","66","","Goo Goo Muck."
"364036484875279671_235289470","Washington","phatcatdc","235289470","77","50","41","","CourtSide Club with @jrobins09 and Fred Davis."
"364033754355382559_18776709","Washington","bfunes","18776709","246","244","185","","Wizards vs. Thunders í ¼í¿€ #DC #OKC @KD35"
"364033265487294196_19842","Washington","aphexplotz","19842","255","255","255","","Prep | Aftermath. Green beans. Grilled cheese. Cauliflower curry carrot soup."
"364032943395027471_28596645","Washington","angelalikes11","28596645","121","47","110","",""
"364038724403103595_248205544","Washington","aaronlmyers","248205544","176","61","54","","I am with @just_kellen and I have joined the #rolltide reveloution!"
"364040438641584679_45721785","Washington","nmfdundee","45721785","113","41","44","","#nofilter Dr. Suess"
"364041270473455162_6972492","Washington","topherleigh","6972492","251","199","203","","This is what a #douche looks like."
"364037594651525890_7301503","Washington","tevans3","7301503","139","98","102","","my first hot toddie.. Hopefully it helps me as much as they say it does #sick #cold #toomuchmedicine"
"364037625035658722_36242084","Washington","young_marlonbrando","36242084","255","250","224","","Good job wiz #DC #wiz #wizards"
"364040679075317636_24136248","Washington","alltherach","24136248","79","126","92","","Finally came #bliss"
"364035935992392396_8459969","Washington","mzdavis99","8459969","84","88","91","","Day 7 #januaryphotochallenge #blkandwhtphoto #dc #lincolnmemorial"
"364036484875279671_235289470","Washington","phatcatdc","235289470","77","50","41","","CourtSide Club with @jrobins09 and Fred Davis."
"364037429900780009_8642983","Washington","pmcdaniel","8642983","135","120","115","","Monkey Bread"
"364035641807898120_269170672","Washington","1flyelectrician","269170672","80","33","3","","Me and cuz @klump_ty  at old ebbit staying sucka free#httr #getmedoe #flatout #gymflow"
"364034911505398786_15381966","Washington","hunklers","15381966","0","0","22","","EJ and an unidentifiable object @ern_j"
"364035419888915734_29197276","Washington","nskarp","29197276","201","184","154","","American woman @rararara518"
"364035049005323690_10404164","Washington","bedspring","10404164","47","14","33","","chien avec foulard"
"364034980410098649_16077623","Washington","eusouamarjorie","16077623","73","59","94","",""
"364032943395027471_28596645","Washington","angelalikes11","28596645","121","47","110","",""
"364033265487294196_19842","Washington","aphexplotz","19842","255","255","255","","Prep | Aftermath. Green beans. Grilled cheese. Cauliflower curry carrot soup."
"364036230151112655_219995480","Washington","zumbaa_1","219995480","142","172","180","","China town #verizoncenter #DC"
"364033754355382559_18776709","Washington","bfunes","18776709","246","244","185","","Wizards vs. Thunders í ¼í¿€ #DC #OKC @KD35"
"364033377550136518_225599284","Washington","amandita026","225599284","205","199","163","","No trip is complete without some #redvelvet goodness!! #dccupcake #georgetowncupcake #cupcake #redv #delicious"
"364037469443294272_49106632","Washington","thatzumbastyle","49106632","239","234","228","","Kevin Durant @ Verizon center @thatdopemixedkid"
"364041246794728698_1139752","Washington","smeshkov","1139752","198","200","179","","Coin fishers"
"364041308979173961_5409453","Washington","jonlas","5409453","120","168","204","","I'm home! #chinatown #washingtondc #usa"
"364041270473455162_6972492","Washington","topherleigh","6972492","251","199","203","","This is what a #douche looks like."
"364040438641584679_45721785","Washington","nmfdundee","45721785","113","41","44","","#nofilter Dr. Suess"
"364037429900780009_8642983","Washington","pmcdaniel","8642983","135","120","115","","Monkey Bread"
"364035935992392396_8459969","Washington","mzdavis99","8459969","84","88","91","","Day 7 #januaryphotochallenge #blkandwhtphoto #dc #lincolnmemorial"
"364037594651525890_7301503","Washington","tevans3","7301503","139","98","102","","my first hot toddie.. Hopefully it helps me as much as they say it does #sick #cold #toomuchmedicine"
"364037625035658722_36242084","Washington","young_marlonbrando","36242084","255","250","224","","Good job wiz #DC #wiz #wizards"
"364035641807898120_269170672","Washington","1flyelectrician","269170672","80","33","3","","Me and cuz @klump_ty  at old ebbit staying sucka free#httr #getmedoe #flatout #gymflow"
"364036484875279671_235289470","Washington","phatcatdc","235289470","77","50","41","","CourtSide Club with @jrobins09 and Fred Davis."
"364038724403103595_248205544","Washington","aaronlmyers","248205544","176","61","54","","I am with @just_kellen and I have joined the #rolltide reveloution!"
"364040679075317636_24136248","Washington","alltherach","24136248","79","126","92","","Finally came #bliss"
"364040387859308076_214474086","Washington","zoe_ig","214474086","4","0","0","","I'm just that good at baseball í ½í¸Œí ½í¸í ½í¹ˆ"
"364037469443294272_49106632","Washington","thatzumbastyle","49106632","239","234","228","","Kevin Durant @ Verizon center @thatdopemixedkid"
"364034911505398786_15381966","Washington","hunklers","15381966","0","0","22","","EJ and an unidentifiable object @ern_j"
"364036230151112655_219995480","Washington","zumbaa_1","219995480","142","172","180","","China town #verizoncenter #DC"
"364035049005323690_10404164","Washington","bedspring","10404164","47","14","33","","chien avec foulard"
"364035419888915734_29197276","Washington","nskarp","29197276","201","184","154","","American woman @rararara518"
"364033754355382559_18776709","Washington","bfunes","18776709","246","244","185","","Wizards vs. Thunders í ¼í¿€ #DC #OKC @KD35"
"364034980410098649_16077623","Washington","eusouamarjorie","16077623","73","59","94","",""
"364043482507193166_255617249","Washington","brenthollandbaker","255617249","255","240","216","","Fresh Flesh"
"364043948821739362_172460","Washington","laura_carolyn","172460","151","72","68","","Look who came! :] @BrandonT87 @alanamounce @biancamarivelle"
"364043234287161120_23866154","Washington","flyyboybc","23866154","67","58","61","","Skybox flow as usual...
#dcvsokc.."
"364042418285820580_28596645","Washington","angelalikes11","28596645","44","3","73","",""
"364043441702963821_23990257","Washington","joolombardo","23990257","231","213","111","","PÃ³s jogo #game #wizards #win #bad #bball"
"364041246794728698_1139752","Washington","smeshkov","1139752","198","200","179","","Coin fishers"
"364042569716469528_23866154","Washington","flyyboybc","23866154","115","90","70","","My new drink..."
"364042560835065710_243988236","Washington","dabernhard","243988236","92","15","0","","une soirÃ©e avec mon amour"
"364043018868196481_49106632","Washington","thatzumbastyle","49106632","129","87","27","","John Wall!! @isaiah_got_game7"
"364037594651525890_7301503","Washington","tevans3","7301503","139","98","102","","my first hot toddie.. Hopefully it helps me as much as they say it does #sick #cold #toomuchmedicine"
"364037625035658722_36242084","Washington","young_marlonbrando","36242084","255","250","224","","Good job wiz #DC #wiz #wizards"
"364040438641584679_45721785","Washington","nmfdundee","45721785","113","41","44","","#nofilter Dr. Suess"
"364041308979173961_5409453","Washington","jonlas","5409453","120","168","204","","I'm home! #chinatown #washingtondc #usa"
"364040679075317636_24136248","Washington","alltherach","24136248","79","126","92","","Finally came #bliss"
"364041113807779644_172460","Washington","laura_carolyn","172460","173","56","49","","Birthdays. Oranges. Love. @alexisruiz49 @shelbyforobama @allisonbbryan"
"364037429900780009_8642983","Washington","pmcdaniel","8642983","135","120","115","","Monkey Bread"
"364038724403103595_248205544","Washington","aaronlmyers","248205544","176","61","54","","I am with @just_kellen and I have joined the #rolltide reveloution!"
"364040387859308076_214474086","Washington","zoe_ig","214474086","4","0","0","","I'm just that good at baseball í ½í¸Œí ½í¸í ½í¹ˆ"
"364037469443294272_49106632","Washington","thatzumbastyle","49106632","239","234","228","","Kevin Durant @ Verizon center @thatdopemixedkid"
"364041270473455162_6972492","Washington","topherleigh","6972492","251","199","203","","This is what a #douche looks like."
"364045045035306804_23866154","Washington","flyyboybc","23866154","134","131","126","","#dcvsokc go thunder.... Damn shame they lost tho lol..."
"364045685852697979_14969316","Washington","davegel0301","14969316","18","6","20","","@stellajew classic being the most photogenic in the room"
"364045815347369785_4739052","Washington","jselga23","4739052","54","92","141","","@sniperjones35 #kd #okc #durant #thunderup"
"364044849036612777_282922260","Washington","seanyg_182","282922260","123","105","69","","Spicy Ale and Shrimp Pot Pie with Wildeman Farmhouse IPA."
"364044677891443919_40331490","Washington","daschi87","40331490","130","125","131","","#okc"
"364044824057173807_4739052","Washington","jselga23","4739052","119","87","66","","@russwest44 #westbrook #russy #thunderup #okc"
"364044190338047992_10337358","Washington","choo86","10337358","148","106","116","",".... In here singing like I'm getting paid.... But this my song....!"
"364044229512746138_282922260","Washington","seanyg_182","282922260","198","193","190","","Went to my first DC ""Beer Dinner"" tonight. Look at this menu!"
"364044573083344996_229600679","Washington","jonesbriandc","229600679","213","210","201","","Mahatma Ghandi Memorial in NW Washington DC"
"364043018868196481_49106632","Washington","thatzumbastyle","49106632","129","87","27","","John Wall!! @isaiah_got_game7"
"364042418285820580_28596645","Washington","angelalikes11","28596645","44","3","73","",""
"364043482507193166_255617249","Washington","brenthollandbaker","255617249","255","240","216","","Fresh Flesh"
"364042560835065710_243988236","Washington","dabernhard","243988236","92","15","0","","une soirÃ©e avec mon amour"
"364043234287161120_23866154","Washington","flyyboybc","23866154","67","58","61","","Skybox flow as usual...
#dcvsokc.."
